_id,_updated_at,_created_at,bankNameCode,bankName,bankCode,bankNameHiragana,addedFirstSearchChar
3njbeC9TaF,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｼﾞﾖｳﾖｳ,常陽銀行,130,し_じようよう,true
4MbSn5dClw,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｵｽｽﾞﾉｳｷﾖｳ,尾鈴農業協同組合,9203,おすずのうきよう,
2CB8enA5xg,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾆｲｶﾞﾀﾃﾂﾄﾞｳｼﾝｸﾐ,新潟鉄道信用組合,2354,にいがたてつどうしんくみ,
1rHv8M5i39,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾐﾄﾉｳｷﾖｳ,水戸農業協同組合,4238,みとのうきよう,
30J5tDv90m,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｹﾞｲﾅﾝﾉｳｷﾖｳ,芸南農業協同組合,8011,け_げいなんのうきよう,true
3WFE2sk15M,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｶｶﾞﾜ,香川銀行,573,かがわ,
2ZTaG0jUc8,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄﾖｺﾛﾁﾖｳﾉｳｷﾖｳ,豊頃町農業協同組合,3286,とよころちようのうきよう,
1emvy094E5,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｱｶｷﾞｼﾝｸﾐ,あかぎ信用組合,2143,あかぎしんくみ,
26An9Gte4J,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｻｲﾀﾏｼﾝｸﾐ,埼玉信用組合,2167,さいたましんくみ,
2CGkyZx5tX,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾊﾙｴﾉｳｷﾖｳ,春江農業協同組合,6823,はるえのうきよう,
28CYQFkEut,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｻｶﾞﾐﾊﾗｼﾉｳｷﾖｳ,相模原市農業協同組合,5159,さがみはらしのうきよう,
2K4uBhEQt8,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾅｶﾞｻｷｹﾝｲｼｼﾝｸﾐ,長崎県医師信用組合,2821,ながさきけんいししんくみ,
2UpLjid7yT,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｱｷﾉｳｷﾖｳ,安芸農業協同組合,7916,あきのうきよう,
3uD4TgLS17,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｵｵｻｶﾌｼﾝﾚﾝ,大阪府信用農業協同組合連合会,3027,おおさかふしんれん,
40RUefQM86,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｻｶﾞｹﾝｼﾝｷﾞﾖﾚﾝ,佐賀県信用漁業協同組合連合会,9490,さがけんしんぎよれん,
3O7d65u02E,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄﾖﾊｼﾉｳｷﾖｳ,豊橋農業協同組合,6618,とよはしのうきよう,
3MQb8o8s5B,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾉﾉｲﾁﾉｳｷﾖｳ,野々市農業協同組合,6010,ののいちのうきよう,
2PU4AI6b7D,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾅｶﾞｻｷｻｲｶｲﾉｳｷﾖｳ,ながさき西海農業協同組合,8857,ながさきさいかいのうきよう,
40p6K8k31G,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾐﾔｷﾞｹﾝｷﾞﾖｷﾖｳ,宮城県漁業協同組合,9453,みやぎけんぎよきよう,
2iRTkOgcH0,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾐｽﾞｼﾏｼﾝｷﾝ,水島信用金庫,1734,みずしましんきん,
2KQ75oHbZg,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾖｳﾃｲﾉｳｷﾖｳ,ようてい農業協同組合,3086,ようていのうきよう,
2944FLlHd7,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｼｽﾞｵｶ,静岡銀行,149,しずおか,
2oId8C8yJM,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｿﾆ-,ソニー銀行,35,そに-,
2wMadGENlW,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｲﾜﾃﾌﾙｻﾄﾉｳｷﾖｳ,岩手ふるさと農業協同組合,3572,いわてふるさとのうきよう,
3U2Co79bhm,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾁﾖｳｼｼﾝｷﾝ,銚子信用金庫,1261,ちようししんきん,
4B5Qu6iIGL,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｲﾋﾞｶﾞﾜﾉｳｷﾖｳ,いび川農業協同組合,6198,いびがわのうきよう,
4I1G9FbC8t,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾐﾉﾘﾉｳｷﾖｳ,みのり農業協同組合,7249,みのりのうきよう,
2nYHIJyTWX,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾆｼﾀﾏﾉｳｷﾖｳ,西多摩農業協同組合,5037,にしたまのうきよう,
3gSVBXKsRv,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾋｶﾞｼﾋﾞﾜｺﾉｳｷﾖｳ,東びわこ農業協同組合,6912,ひがしびわこのうきよう,
3zD516MeTJ,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ｷｼﾕｳﾉｳｷﾖｳ,紀州農業協同組合,7565,きしゆうのうきよう,
43i6AuNrb8,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾔﾏｸﾞﾁ,山口銀行,170,やまぐち,
4I1fZL2PV4,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾌｸｲｹﾝｲｼｼﾝｸﾐ,福井県医師信用組合,2435,ふくいけんいししんくみ,
27KNokycFh,2019-08-28T09:01:04.494Z,2017-11-28T01:45:57.085Z,ﾄｶﾁｲｹﾀﾞﾁﾖｳﾉｳｷﾖｳ,十勝池田町農業協同組合,3283,とかちいけだちようのうきよう,
